,loss,accuracy,val_loss,val_accuracy,lr
0,0.4804920554161072,0.7731109857559204,0.41445237398147583,0.8228980302810669,0.001
1,0.38249602913856506,0.8341128826141357,0.3622872829437256,0.8475218415260315,0.001
2,0.3541053533554077,0.8485535979270935,0.35619524121284485,0.8477323055267334,0.001
3,0.33918413519859314,0.8563059568405151,0.36318713426589966,0.8444701433181763,0.001
4,0.32153773307800293,0.8652627468109131,0.3051685392856598,0.8693044185638428,0.001
5,0.3023637533187866,0.8745819926261902,0.2968337833881378,0.8782489895820618,0.001
6,0.2891311049461365,0.8813053965568542,0.29671618342399597,0.8798274397850037,0.001
7,0.2791523337364197,0.886976420879364,0.2847687304019928,0.8851941227912903,0.001
8,0.2640422284603119,0.8950328826904297,0.285455584526062,0.8842470645904541,0.001
9,0.25438421964645386,0.9000958800315857,0.2665238082408905,0.8928759098052979,0.001
